,Demi-elfe,Demi-orque,Elfe,Gnome,Halflin,Humain·e,Nain·e
Barbare,1000,1000,1000,1000,1000,1000,1000
Barde,1000,1000,1000,1000,1000,1000,1000
Druide·ess,1000,1000,1000,1000,1000,1000,1000
Encorceleur·euse,1000,1000,1000,1000,1000,1000,1000
Guerrier·e,1000,1000,1000,1000,1000,1000,1000
Magicien·ne,1000,1000,1000,1000,1000,1000,1000
Moine,1000,1000,1000,1000,1000,1000,1000
Paladin·e,1000,1000,1000,1000,1000,1000,1000
Pretre·sse,1000,1000,1000,1000,1000,1000,1000
Rodeur·euse,1000,1000,1000,1000,1000,1000,1000
Roublard·e,1000,1000,1000,1000,1000,1000,1000
